Channel,Radial Position [in],Radial Position [m],R/D
Ch 1 [C],0,0,0
Ch 2 [C],0.5,0.0127,3.205128205
Ch 3 [C],1,0.0254,6.41025641
Ch 4 [C],1.5,0.0381,9.615384615
Ch 5 [C],2,0.0508,12.82051282
Ch 6 [C],2.5,0.0635,16.02564103
Ch 7 [C],3,0.0762,19.23076923
Ch 8 [C],3.5,0.0889,22.43589744
Ch 9 [C],4,0.1016,25.64102564
Ch 10 [C],0.75,0.01905,4.807692308
Ch 11 [C],1.25,0.03175,8.012820513
Ch 12 [C],1.75,0.04445,11.21794872
Ch 13 [C],2.25,0.05715,14.42307692
Ch 14 [C],2.75,0.06985,17.62820513
Ch 15 [C],3.25,0.08255,20.83333333
Ch 16 [C],3.75,0.09525,24.03846154
Ch 17 [C],0.5,0.0127,3.205128205
Ch 18 [C],1,0.0254,6.41025641
Ch 19 [C],1.5,0.0381,9.615384615
Ch 20 [C],2,0.0508,12.82051282
Ch 21 [C],2.5,0.0635,16.02564103
Ch 22 [C],3,0.0762,19.23076923
Ch 23 [C],3.5,0.0889,22.43589744
Ch 25 [C],0.75,0.01905,4.807692308
Ch 26 [C],1.25,0.03175,8.012820513
Ch 27 [C],1.75,0.04445,11.21794872
Ch 28 [C],2.25,0.05715,14.42307692
Ch 29 [C],2.75,0.06985,17.62820513
Ch 30 [C],3.25,0.08255,20.83333333
Ch 31 [C],3.75,0.09525,24.03846154