Temperature [C],Dynamic Viscosity [N s/m2 *10-6],Kinematic Viscosity [m2/s *10-6]
-75,13.18,7.4
-50,14.56,9.22
-25,15.88,11.18
-15,16.4,12.01
-10,16.65,12.43
-5,16.9,12.85
0,17.15,13.28
5,17.4,13.72
10,17.64,14.16
15,17.89,14.61
20,18.13,15.06
25,18.37,15.52
30,18.6,15.98
40,19.07,16.92
50,19.53,17.88
60,19.99,18.86
80,20.88,20.88
100,21.74,22.97
125,22.79,25.69
150,23.8,28.51
175,24.78,31.44
200,25.73,34.47
225,26.66,37.6
300,29.28,47.54
412,32.87,63.82
500,35.47,77.72
600,38.25,94.62
700,40.85,112.6
800,43.32,131.7
900,45.66,151.7
1000,47.88,172.7
1100,50.01,194.6